crime,year,month,day
Attempted Robbery,2017,08,24
Threatening A Violent Assault,2017,08,25
Assault With Deadly Weapon,2017,08,26
Threatening A Violent Assault,2017,08,28
Attempted Robbery,2017,08,29
Battery,2017,08,24
Resist Or Delay Officer,2017,08,26
Threatening A Violent Assault,2017,09,01
Robbery,2017,09,02
Resist Arrest W/Injury/Death To Off,2017,09,04
Assault With Deadly Weapon,2017,09,05
Attempted Robbery,2017,09,05
Threatening A Violent Assault,2017,09,05
Robbery,2017,09,06
Contempt Of Court,2017,09,07
Resist Or Delay Officer,2017,09,09
Battery,2017,09,09
Battery,2017,09,10
Threatening A Violent Assault,2017,09,10
Attempted Murder,2017,09,12
Battery,2017,09,13
Shoot At Inhabited Dwelling/Vehicle,2017,09,13
Attempted Murder,2017,09,14
Resist Or Delay Officer,2017,07,18
Attempted Murder,2017,07,19
Battery,2017,07,22
Contempt Of Court,2017,07,23
Threatening A Violent Assault,2017,07,23
Battery,2017,07,24
Contempt Of Court,2017,07,24
Robbery,2017,07,18
Threatening A Violent Assault,2017,07,22
Robbery,2017,07,17
Assault With Deadly Weapon,2017,07,26
Threatening A Violent Assault,2017,07,27
Robbery,2017,07,28
Threatening A Violent Assault,2017,07,29
Assault With Deadly Weapon,2017,07,29
Assault With Deadly Weapon,2017,07,29
Battery,2017,07,28
Threatening A Violent Assault,2017,07,30
Resist Or Delay Officer,2017,08,04
Robbery,2017,08,05
Attempted Murder,2017,08,07
Battery,2017,08,08
Threatening A Violent Assault,2017,08,09
Threatening A Violent Assault,2017,08,11
Battery,2017,08,13
Battery,2017,08,14
Threatening A Violent Assault,2017,08,14
Sexual Touch Against Will Of Victim,2018,03,20
Allowing/Causing Child Endangermnt,2018,03,23
Punishmnt On Child Result In Trauma,2018,04,04
Punishmnt On Child Result In Trauma,2018,04,09
Unlawful Sex With Minor,2018,04,15
Child Endanger/Cruelty,2017,07,03
Unlawful Sex With Minor,2017,04,17
Child Endanger/Cruelty,2017,04,18
Crimes V Children(Lewd/Lascivious),2017,04,24
Child Endanger/Cruelty,2017,05,07
Crimes V Children(Lewd/Lascivious),2017,05,11
Sexual Battery-Restrained Victim,2017,05,17
Unlawful Sexual Intercourse W/Minor,2017,05,23
Annoying Or Molesting Children,2017,05,29
Crimes V Children(Lewd/Lascivious),2017,06,09
Allowing/Causing Child Endangermnt,2017,06,14
Oral Copulation W/child Under 14,2017,06,13
Crimes V Children(Lewd/Lascivious),2017,03,23
Child Endanger/Cruelty,2017,03,25
Lewd Or Lascivious Acts W/Children,2017,03,28
Allowing/Causing Child Endangermnt,2017,03,31
Sexual Battery-Restrained Victim,2017,04,05
Crimes V Children(Lewd/Lascivious),2017,04,14
Allowing/Causing Child Endangermnt,2017,01,20
Allowing/Causing Child Endangermnt,2017,02,01
Child Endanger/Cruelty,2017,02,02
Child Endanger/Cruelty,2017,02,03
Allowing/Causing Child Endangermnt,2017,02,19
Child Endanger/Cruelty,2017,03,14
Child Endanger/Cruelty,2017,03,14
Child Endanger/Cruelty,2017,01,01
Crimes V Children(Lewd/Lascivious),2017,01,06
Child Endanger/Cruelty,2017,01,10
Child Endanger/Cruelty,2016,11,26
Crimes V Children(Lewd/Lascivious),2016,11,20
Unlawful Sex With Minor,2016,12,13
Lewd Act By Force,2016,12,14
Oral Copulation W/Person Under 18,2016,10,28
Allowing/Causing Child Endangermnt,2016,11,02
Child Endanger/Cruelty,2016,11,03
Allowing/Causing Child Endangermnt,2016,11,05
Crimes V Children(Lewd/Lascivious),2016,11,07
Oral Copulation W/Person Under 18,2016,11,09
Child Endanger/Cruelty,2016,11,09
Lewd Or Lascivious Acts W/Children,2016,11,11
Penetration By Foreign Object,2016,09,18
Allowing/Causing Child Endangermnt,2016,09,30
Allowing/Causing Child Endangermnt,2018,02,26
Sexual Battery-Restrained Victim,2018,03,04
Crimes V Children(Lewd/Lascivious),2016,08,17
Punishmnt On Child Result In Trauma,2016,08,19
Crimes V Children(Lewd/Lascivious),2016,08,27
Punishmnt On Child Result In Trauma,2016,09,05
Annoy/Etc Child Under 18,2016,08,13
Crimes V Children(Lewd/Lascivious),2018,01,26
Allowing/Causing Child Endangermnt,2018,01,27
Crimes V Children(Lewd/Lascivious),2018,02,10
Child Endanger/Cruelty,2018,01,02
Oral Copulation W/child Under 14,2018,01,04
Annoy/Etc Child Under 18,2017,11,25
Allowing/Causing Child Endangermnt,2017,12,11
Child Endanger/Cruelty,2017,10,30
Annoying Or Molesting Children,2017,11,05
Allowing/Causing Child Endangermnt,2017,09,21
Child Endanger/Cruelty,2017,09,24
Child Endanger/Cruelty,2017,10,02
Sexual Touch Against Will Of Victim,2017,10,04
Allowing/Causing Child Endangermnt,2017,10,05
Sexual Touch Against Will Of Victim,2017,10,10
Oral Copulation W/Person Under 18,2017,08,24
Punishmnt On Child Result In Trauma,2017,09,04
Unlawful Sex With Minor,2017,09,04
Annoying Or Molesting Children,2017,09,10
Crimes V Children(Lewd/Lascivious),2017,09,09
Punishmnt On Child Result In Trauma,2017,07,17
Child Endanger/Cruelty,2017,07,22
Crimes V Children(Lewd/Lascivious),2017,07,27
Sexual Touch Against Will Of Victim,2017,07,28
Sodomy W/ Child Under 14,2017,08,05
Allowing/Causing Child Endangermnt,2017,08,07
Punishmnt On Child Result In Trauma,2017,08,09
Crimes V Children(Lewd/Lascivious),2017,08,04
Battery On Spouse/Cohabitant,2018,03,24
Assault On Spouse/Cohabitant,2018,03,25
Battery On Spouse/Cohabitant,2018,03,30
Assault On Spouse/Cohabitant,2018,03,30
Assault On Spouse/Cohabitant,2018,03,31
Violation Of Court Order,2018,03,31
Assault On Spouse/Cohabitant,2018,03,29
Assault On Spouse/Cohabitant,2018,04,02
Battery On Spouse/Cohabitant,2018,04,03
Battery On Spouse/Cohabitant,2018,04,05
Assault On Spouse/Cohabitant,2018,04,05
Assault On Spouse/Cohabitant,2018,04,08
Violation Of Court Order,2018,04,08
Battery On Spouse/Cohabitant,2018,04,08
Battery On Spouse/Cohabitant,2018,04,09
Assault On Spouse/Cohabitant,2018,04,09
Battery On Spouse/Cohabitant,2018,04,13
Battery On Spouse/Cohabitant,2018,04,13
Sexual Touch Against Will Of Victim,2018,04,13
Assault On Spouse/Cohabitant,2017,06,18
Violation Of Court Order,2017,06,20
Violation Of Court Order,2017,06,21
Battery On Spouse/Cohabitant,2017,06,22
Assault On Spouse/Cohabitant,2017,06,25
Battery On Spouse/Cohabitant,2017,06,26
Assault On Spouse/Cohabitant,2017,06,29
Assault On Spouse/Cohabitant,2017,07,05
Assault On Spouse/Cohabitant,2017,07,04
Battery On Spouse/Cohabitant,2017,07,10
Battery On Spouse/Cohabitant,2017,04,17
Assault On Spouse/Cohabitant,2017,04,21
Battery On Spouse/Cohabitant,2017,04,21
Assault On Spouse/Cohabitant,2017,04,22
Assault On Spouse/Cohabitant,2017,04,23
Violation Of Court Order,2017,04,29
Assault On Spouse/Cohabitant,2017,04,30
Assault On Spouse/Cohabitant,2017,05,01
Battery On Spouse/Cohabitant,2017,05,02
Assault On Spouse/Cohabitant,2017,05,06
Assault On Spouse/Cohabitant,2017,05,07
Assault On Spouse/Cohabitant,2017,05,06
Battery On Spouse/Cohabitant,2017,05,11
Battery On Spouse/Cohabitant,2017,05,11
Battery On Spouse/Cohabitant,2017,05,11
Assault On Spouse/Cohabitant,2017,05,13
Assault On Spouse/Cohabitant,2017,05,13
Battery On Spouse/Cohabitant,2017,05,12
Violation Of Court Order,2017,05,15
Sexual Battery-Restrained Victim,2017,05,17
Battery On Spouse/Cohabitant,2017,05,19
Battery On Spouse/Cohabitant,2017,05,21
Assault On Spouse/Cohabitant,2017,05,27
Assault On Spouse/Cohabitant,2017,05,27
Battery On Spouse/Cohabitant,2017,05,31
Battery On Spouse/Cohabitant,2017,06,02
Violation Of Court Order,2017,06,04
Battery On Spouse/Cohabitant,2017,06,08
Assault On Spouse/Cohabitant,2017,06,14
Contempt Of Court,2017,06,16
Battery On Spouse/Cohabitant,2017,03,17
Assault On Spouse/Cohabitant,2017,03,18
Violation Of Court Order,2017,03,20
Violation Of Court Order,2017,03,21
Battery On Spouse/Cohabitant,2017,03,23
Assault On Spouse/Cohabitant,2017,03,24
Violation Of Court Order,2017,03,25
Battery On Spouse/Cohabitant,2017,03,25
Battery On Spouse/Cohabitant,2017,03,25
Assault On Spouse/Cohabitant,2017,03,28
Assault On Spouse/Cohabitant,2017,03,30
Battery On Spouse/Cohabitant,2017,04,02
Assault On Spouse/Cohabitant,2017,04,02
Assault On Spouse/Cohabitant,2017,04,03
Assault On Spouse/Cohabitant,2017,04,16
Assault On Spouse/Cohabitant,2017,01,23
Battery On Spouse/Cohabitant,2017,01,23
Assault On Spouse/Cohabitant,2017,01,24
Assault On Spouse/Cohabitant,2017,01,31
Battery On Spouse/Cohabitant,2017,01,29
Assault On Spouse/Cohabitant,2017,02,05
Assault On Spouse/Cohabitant,2017,02,06
Assault On Spouse/Cohabitant,2017,02,08
Assault On Spouse/Cohabitant,2017,02,11
Assault On Spouse/Cohabitant,2017,02,12
Assault On Spouse/Cohabitant,2017,02,20
Assault On Spouse/Cohabitant,2017,02,21
Battery On Spouse/Cohabitant,2017,02,25
Assault On Spouse/Cohabitant,2017,02,28
Battery On Spouse/Cohabitant,2017,03,02
Assault On Spouse/Cohabitant,2017,03,04
Assault On Spouse/Cohabitant,2017,03,04
Assault On Spouse/Cohabitant,2017,03,13
Violation Of Court Order,2017,03,14
Battery On Spouse/Cohabitant,2017,03,15
Assault On Spouse/Cohabitant,2017,03,11
Battery On Spouse/Cohabitant,2016,12,17
Battery On Spouse/Cohabitant,2016,12,18
Assault On Spouse/Cohabitant,2016,12,19
Violation Of Court Order,2016,12,20
Assault On Spouse/Cohabitant,2016,12,22
Assault On Spouse/Cohabitant,2016,12,23
Assault On Spouse/Cohabitant,2016,12,23
Assault On Spouse/Cohabitant,2016,12,26
Assault On Spouse/Cohabitant,2016,12,31
Assault On Spouse/Cohabitant,2017,01,04
Assault On Spouse/Cohabitant,2017,01,05
Assault On Spouse/Cohabitant,2017,01,07
Battery On Spouse/Cohabitant,2017,01,10
Assault On Spouse/Cohabitant,2017,01,14
Battery On Spouse/Cohabitant,2017,01,15
Battery On Spouse/Cohabitant,2017,01,16
Assault On Spouse/Cohabitant,2017,01,16
Assault On Spouse/Cohabitant,2016,11,18
Battery On Spouse/Cohabitant,2016,11,18
Assault On Spouse/Cohabitant,2016,11,22
Violation Of Court Order,2016,11,24
Assault On Spouse/Cohabitant,2016,11,24
Violation Of Court Order,2016,11,27
Assault On Spouse/Cohabitant,2016,11,28
Assault On Spouse/Cohabitant,2016,11,28
Battery On Spouse/Cohabitant,2016,12,03
Violation Of Court Order,2016,12,03
Violation Of Court Order,2016,12,03
Battery On Spouse/Cohabitant,2016,12,06
Assault On Spouse/Cohabitant,2016,12,09
Assault On Spouse/Cohabitant,2016,12,13
Battery On Spouse/Cohabitant,2016,10,24
Assault On Spouse/Cohabitant,2016,10,23
Assault On Spouse/Cohabitant,2016,10,25
Sexual Battery-Restrained Victim,2016,10,27
Assault On Spouse/Cohabitant,2016,10,27
Battery On Spouse/Cohabitant,2016,10,28
Battery On Spouse/Cohabitant,2016,10,30
Assault On Spouse/Cohabitant,2016,10,31
Violation Of Court Order,2016,11,04
Assault On Spouse/Cohabitant,2016,11,05
Battery On Spouse/Cohabitant,2016,11,04
Violation Of Court Order,2016,11,15
Assault On Spouse/Cohabitant,2016,09,23
Battery On Spouse/Cohabitant,2016,09,23
Assault On Spouse/Cohabitant,2016,09,27
Assault On Spouse/Cohabitant,2016,09,27
Violation Of Court Order,2016,09,28
Battery On Spouse/Cohabitant,2016,09,28
Assault On Spouse/Cohabitant,2016,10,05
Assault On Spouse/Cohabitant,2016,10,07
Assault On Spouse/Cohabitant,2016,10,08
Assault On Spouse/Cohabitant,2016,10,15
Assault On Spouse/Cohabitant,2018,02,20
Battery On Spouse/Cohabitant,2018,02,22
Assault On Spouse/Cohabitant,2018,02,23
Assault On Spouse/Cohabitant,2018,02,24
Assault On Spouse/Cohabitant,2018,02,20
Assault On Spouse/Cohabitant,2018,02,25
Assault On Spouse/Cohabitant,2018,03,08
Battery On Spouse/Cohabitant,2018,03,12
Assault On Spouse/Cohabitant,2018,03,15
Assault On Spouse/Cohabitant,2016,08,17
Battery On Spouse/Cohabitant,2016,08,21
Battery On Spouse/Cohabitant,2016,08,28
Assault On Spouse/Cohabitant,2016,09,06
Assault On Spouse/Cohabitant,2016,09,09
Violation Of Court Order,2016,09,10
Assault On Spouse/Cohabitant,2016,07,17
Assault On Spouse/Cohabitant,2016,07,17
Battery On Spouse/Cohabitant,2016,07,18
Battery On Spouse/Cohabitant,2016,07,18
Battery On Spouse/Cohabitant,2016,07,24
Battery On Spouse/Cohabitant,2016,07,27
Assault On Spouse/Cohabitant,2016,07,30
Battery On Spouse/Cohabitant,2016,07,31
Battery On Spouse/Cohabitant,2016,08,01
Battery On Spouse/Cohabitant,2016,08,05
Battery On Spouse/Cohabitant,2016,08,06
Battery On Spouse/Cohabitant,2016,08,04
Battery On Spouse/Cohabitant,2016,08,14
Violation Of Court Order,2016,08,14
Battery On Spouse/Cohabitant,2018,01,18
Battery On Spouse/Cohabitant,2018,01,19
Assault On Spouse/Cohabitant,2018,01,20
Violation Of Court Order,2018,01,22
Assault On Spouse/Cohabitant,2018,01,22
Battery On Spouse/Cohabitant,2018,01,24
Assault On Spouse/Cohabitant,2018,01,25
Battery On Spouse/Cohabitant,2018,01,27
Assault On Spouse/Cohabitant,2018,01,28
Battery On Spouse/Cohabitant,2018,01,28
Battery On Spouse/Cohabitant,2018,01,28
Assault On Spouse/Cohabitant,2018,01,29
Battery On Spouse/Cohabitant,2018,01,18
Assault On Spouse/Cohabitant,2018,02,03
Assault On Spouse/Cohabitant,2018,02,03
Assault On Spouse/Cohabitant,2018,02,04
Assault On Spouse/Cohabitant,2018,02,05
Assault On Spouse/Cohabitant,2018,01,29
Violation Of Court Order,2018,02,07
Battery On Spouse/Cohabitant,2018,02,09
Assault On Spouse/Cohabitant,2018,02,09
Sexual Touch Against Will Of Victim,2018,02,10
Violation Of Court Order,2018,02,10
Assault On Spouse/Cohabitant,2018,02,11
Battery On Spouse/Cohabitant,2017,12,17
Assault On Spouse/Cohabitant,2017,12,17
Assault On Spouse/Cohabitant,2017,12,20
Assault On Spouse/Cohabitant,2017,12,21
Assault On Spouse/Cohabitant,2017,12,24
Assault On Spouse/Cohabitant,2017,12,26
Assault On Spouse/Cohabitant,2017,12,26
Assault On Spouse/Cohabitant,2017,12,31
Battery On Spouse/Cohabitant,2017,12,31
Assault On Spouse/Cohabitant,2018,01,05
Violation Of Court Order,2018,01,08
Violation Of Court Order,2018,01,09
Assault On Spouse/Cohabitant,2018,01,10
Battery On Spouse/Cohabitant,2018,01,01
Violation Of Court Order,2018,01,07
Battery On Spouse/Cohabitant,2018,01,12
Assault On Spouse/Cohabitant,2018,01,07
Battery On Spouse/Cohabitant,2017,11,19
Battery On Spouse/Cohabitant,2017,11,20
Assault On Spouse/Cohabitant,2017,11,23
Assault On Spouse/Cohabitant,2017,11,23
Assault On Spouse/Cohabitant,2017,11,24
Assault On Spouse/Cohabitant,2017,11,25
Battery On Spouse/Cohabitant,2017,11,26
Battery On Spouse/Cohabitant,2017,12,01
Battery On Spouse/Cohabitant,2017,12,04
Battery On Spouse/Cohabitant,2017,12,05
Assault On Spouse/Cohabitant,2017,12,10
Battery On Spouse/Cohabitant,2017,12,10
Battery On Spouse/Cohabitant,2017,12,10
Assault On Spouse/Cohabitant,2017,10,18
Violation Of Court Order,2017,10,18
Assault On Spouse/Cohabitant,2017,10,21
Assault On Spouse/Cohabitant,2017,10,23
Battery On Spouse/Cohabitant,2017,10,24
Battery On Spouse/Cohabitant,2017,10,29
Battery On Spouse/Cohabitant,2017,10,29
Battery On Spouse/Cohabitant,2017,11,01
Assault On Spouse/Cohabitant,2017,11,01
Violation Of Court Order,2017,11,07
Assault On Spouse/Cohabitant,2017,11,10
Battery On Spouse/Cohabitant,2017,11,10
Battery On Spouse/Cohabitant,2017,11,12
Violation Of Court Order,2017,11,13
Assault On Spouse/Cohabitant,2017,11,14
Violation Of Court Order,2017,11,16
Battery On Spouse/Cohabitant,2017,09,17
Battery On Spouse/Cohabitant,2017,09,18
Battery On Spouse/Cohabitant,2017,09,19
Violation Of Court Order,2017,09,19
Assault On Spouse/Cohabitant,2017,09,23
Battery On Spouse/Cohabitant,2017,09,24
Assault On Spouse/Cohabitant,2017,09,25
Assault On Spouse/Cohabitant,2017,09,27
Battery On Spouse/Cohabitant,2017,09,27
Assault On Spouse/Cohabitant,2017,10,04
Assault On Spouse/Cohabitant,2017,10,04
Contempt Of Court,2017,09,28
Assault On Spouse/Cohabitant,2017,10,07
Sexual Touch Against Will Of Victim,2017,10,10
Assault On Spouse/Cohabitant,2017,10,11
Assault On Spouse/Cohabitant,2017,10,11
Battery On Spouse/Cohabitant,2017,10,13
Assault On Spouse/Cohabitant,2017,08,17
Battery On Spouse/Cohabitant,2017,08,17
Assault On Spouse/Cohabitant,2017,08,19
Assault On Spouse/Cohabitant,2017,08,26
Assault On Spouse/Cohabitant,2017,08,26
Battery On Spouse/Cohabitant,2017,08,30
Assault On Spouse/Cohabitant,2017,09,03
Battery On Spouse/Cohabitant,2017,09,04
Contempt Of Court,2017,09,07
Violation Of Court Order,2017,09,14
Assault On Spouse/Cohabitant,2017,07,17
Battery On Spouse/Cohabitant,2017,07,22
Battery On Spouse/Cohabitant,2017,07,23
Violation Of Court Order,2017,07,28
Sexual Touch Against Will Of Victim,2017,07,28
Assault On Spouse/Cohabitant,2017,07,30
Assault On Spouse/Cohabitant,2017,08,02
Battery On Spouse/Cohabitant,2017,08,05
Assault On Spouse/Cohabitant,2017,08,08
Violation Of Court Order,2017,08,10
Unlawful Sexual Intercourse W/Minor,2018,03,25
Lewd Or Lascivious Acts W/Children,2018,04,02
Attempted Lewd Act By Force,2018,04,13
Unlawful Sex With Minor,2018,04,15
Sexual Touch Against Will Of Victim,2017,06,24
Lewd Or Lascivious Acts W/Children,2017,07,03
Continuous Sexual Abuse On Child,2017,06,30
Crimes V Children(Lewd/Lascivious),2017,07,12
Crimes V Children(Lewd/Lascivious),2017,04,24
Rape,2017,04,27
Rape,2017,05,08
Crimes V Children(Lewd/Lascivious),2017,05,12
Rape,2017,05,14
Crimes V Children(Lewd/Lascivious),2017,05,27
Crimes V Children(Lewd/Lascivious),2017,06,06
Sexual Touch Against Will Of Victim,2017,03,23
Sexual Battery-Restrained Victim,2017,04,05
Crimes V Children(Lewd/Lascivious),2017,04,14
Rape,2017,04,16
Sodomy W/ Child Under 14,2017,01,30
Rape,2017,02,01
Rape,2017,02,07
Crimes V Children(Lewd/Lascivious),2017,02,22
Rape:Victim Incapable Of Consenting,2017,02,23
Sexual Battery-Restrained Victim,2017,02,24
Lewd Or Lascivious Acts W/Children,2017,03,14
Crimes V Children(Lewd/Lascivious),2016,12,23
Att Oral Copulation By Force Vic-14,2017,01,12
Crimes V Children(Lewd/Lascivious),2016,11,27
Crimes V Children(Lewd/Lascivious),2016,10,19
Oral Copulation W/Person Under 18,2016,10,28
Lewd Act By Force,2016,09,30
Annoying Or Molesting Children,2016,09,29
Sexual Battery-Restrained Victim,2018,02,18
Sexual Touch Against Will Of Victim,2018,03,06
Crimes V Children(Lewd/Lascivious),2016,08,19
Rape,2016,07,24
Crimes V Children(Lewd/Lascivious),2016,08,11
Annoy/Etc Child Under 18,2016,08,13
Sexual Battery-Restrained Victim,2018,01,19
Crimes V Children(Lewd/Lascivious),2018,01,31
Crimes V Children(Lewd/Lascivious),2017,12,21
Rape,2017,11,25
Aggravated Sexual Assault Of Child,2017,10,18
Crimes V Children(Lewd/Lascivious),2017,11,06
Rape,2017,09,24
Lewd/Dissolute Conduct,2017,10,02
Sexual Touch Against Will Of Victim,2017,10,10
Oral Copulation,2017,10,11
Annoying Or Molesting Children,2017,10,16
Crimes V Children(Lewd/Lascivious),2017,08,28
Sexual Battery-Restrained Victim,2017,09,07
Annoying Or Molesting Children,2017,09,10
Crimes V Children(Lewd/Lascivious),2017,07,27
Sexual Touch Against Will Of Victim,2017,07,28
Annoy/Etc Child Under 18,2017,08,09
Possess Controlled Substance,2018,05,26
Possess Controlled Substance,2018,05,27
Possession Of Paraphernalia,2018,05,30
Possess Narcotic Controlled Substnc,2018,05,31
Possess Narcotic Controlled Substnc,2018,06,15
Under Influence Controlled Substanc,2018,04,18
Possess Narcotic Controlled Substnc,2018,04,27
Possess Narcotic Controlled Substnc,2018,04,27
Possession Of Paraphernalia,2018,04,27
Possess Control Substance For Sale,2018,04,28
Possess Controlled Substance,2018,05,03
Possess Controlled Substance,2018,05,06
Possession Of Paraphernalia,2018,05,13
Possession Of Paraphernalia,2018,05,15
Exhibiting Dead.Wp.Not Firearm,2018,05,18
Murder: First Degree,2018,06,02
Exhibiting Dead.Wp.Not Firearm,2018,05,13
Non-Crime,2018,05,25
Non-Crime,2018,05,26
Non-Crime,2018,04,30
Non-Crime,2018,05,12
Malicious Mischief (over $400),2018,06,06
Vandalism:deface Property,2018,06,10
Vandalism:deface Property,2018,04,25
Prostitution,2018,04,28
Vandalism Less Than $400,2018,04,29
Vandalism:deface Property,2018,04,30
Malicious Mischief (over $400),2018,05,02
Vandalism Less Than $400,2018,05,06
Malicious Mischief (over $400),2018,05,10
Theft,2018,05,24
Grand Theft (over $950),2018,05,23
Malicious Mischief (over $400),2018,05,23
Burglary,2018,05,28
Theft,2018,05,26
Malicious Mischief (over $400),2018,06,02
Grand Theft (over $950),2018,04,18
Forging Doc. W/Intent To Defraud,2018,04,20
Theft,2018,04,20
Burglary,2018,04,25
Burglary,2018,04,20
Vehicle Theft,2018,05,01
Burglary,2018,04,26
Malicious Mischief (over $400),2018,05,02
Theft,2018,05,05
Burglary,2018,05,13
Resist Or Delay Officer,2018,05,21
Resist Or Delay Officer,2018,05,21
Resist Or Delay Officer,2018,05,23
Robbery,2018,05,28
Resist Or Delay Officer,2018,06,01
Robbery,2018,05,18
Robbery,2018,06,08
Resist Or Delay Officer,2018,04,24
Battery,2018,05,02
Battery,2018,05,06
Resist Or Delay Officer,2018,05,06
Threatening A Violent Assault,2018,05,12
Robbery,2018,05,12
Threatening A Violent Assault,2018,05,12
Resist Or Delay Officer,2018,05,14
Child Endanger/Cruelty,2018,05,27
Annoy/Etc Child Under 18,2018,04,25
Battery On Spouse/Cohabitant,2018,05,17
Assault On Spouse/Cohabitant,2018,05,26
Possess Controlled Substance,2018,05,18
Possess Controlled Substance,2018,05,25
Possession Of Paraphernalia,2018,05,28
Possess Controlled Substance,2018,05,31
Under Influence Controlled Substanc,2018,06,05
Possess Controlled Substance,2018,06,07
Possess Controlled Substance,2018,06,14
Possess Narcotic Controlled Substnc,2018,04,22
Possess Firearm While Possess Narc,2018,04,24
Possession Of Paraphernalia,2018,04,28
Possess Narcotic Controlled Substnc,2018,05,06
Possession Of Paraphernalia,2018,05,13
Possess Controlled Substance,2018,05,14
Possess Controlled Substance,2018,05,14
Robbery,2018,05,18
Robbery,2018,05,23
Robbery,2018,06,01
Possess Firearm While Possess Narc,2018,04,24
Exhibiting Dead.Wp.Not Firearm,2018,04,26
Non-Crime,2018,05,17
Non-Crime,2018,05,19
Non-Crime,2018,05,22
Non-Crime,2018,05,24
Non-Crime,2018,05,24
Non-Crime,2018,05,25
Non-Crime,2018,05,27
Psychiatric Detention,2018,05,29
Non-Crime,2018,06,03
Non-Crime,2018,06,01
Non-Crime,2018,05,31
Non-Crime,2018,05,29
Non-Crime,2018,06,06
Non-Crime,2018,06,05
Psychiatric Detention,2018,06,09
Non-Crime,2018,06,10
Non-Crime,2018,06,15
Non-Crime,2018,04,17
Non-Crime,2018,04,18
Non-Crime,2018,04,22
Non-Crime,2018,04,24
Non-Crime,2018,04,25
Non-Crime,2018,04,25
Non-Crime,2018,04,26
Non-Crime,2018,04,26
Non-Crime,2018,04,26
Non-Crime,2018,04,27
Non-Crime,2018,04,27
Non-Crime,2018,04,27
Non-Crime,2018,04,28
Non-Crime,2018,04,29
Non-Crime,2018,04,29
Non-Crime,2018,04,22
Non-Crime,2018,04,28
Non-Crime,2018,04,30
Non-Crime,2018,05,01
Non-Crime,2018,05,01
Non-Crime,2018,05,01
Non-Crime,2018,05,02
Non-Crime,2018,05,02
Non-Crime,2018,05,01
Non-Crime,2018,05,03
Non-Crime,2018,05,04
Non-Crime,2018,05,06
Non-Crime,2018,05,06
Non-Crime,2018,05,06
Non-Crime,2018,05,07
Non-Crime,2018,05,07
Non-Crime,2018,05,07
Psychiatric Detention,2018,05,08
Non-Crime,2018,05,10
Psychiatric Detention,2018,05,10
Non-Crime,2018,05,11
Non-Crime,2018,05,11
Non-Crime,2018,05,09
Non-Crime,2018,05,11
Psychiatric Detention,2018,05,12
Non-Crime,2018,05,11
Non-Crime,2018,05,16
Non-Crime,2018,05,03
Malicious Mischief (over $400),2018,05,18
Drunk Or Disorderly,2018,05,20
Vandalism:deface Property,2018,05,22
Vandalism:deface Property,2018,05,24
Vandalism:deface Property,2018,05,22
Malicious Mischief (over $400),2018,05,24
Malicious Mischief (over $400),2018,05,28
Trespass Prohibited On Posted Land,2018,05,30
Vandalism,2018,05,31
Vandalism Less Than $400,2018,06,02
Malicious Mischief (over $400),2018,06,03
Malicious Mischief (over $400),2018,05,27
Alcoholic Beverage Prohibit In Park,2018,06,08
Burglary,2020,02,04
Burglary,2020,02,06
Burglary,2020,01,31
Theft,2020,02,06
Vehicle Theft,2020,02,08
Theft,2020,02,09
Fraudulent Poss Forge Check,2020,02,09
Theft,2020,02,13
Fraudulent Use Of Credit Card,2020,02,13
Forging Doc. W/Intent To Defraud,2020,02,01
Robbery,2020,01,18
Battery,2020,01,18
Violation Of Court Order,2020,01,22
Assault With Deadly Weapon,2020,01,24
Battery,2020,01,22
Resist Or Delay Officer,2020,01,24
Battery,2020,01,25
Robbery,2020,01,25
Shoot At Inhabited Dwelling/Vehicle,2020,01,26
Kidnapping,2020,01,24
Threatening A Violent Assault,2020,01,27
Attempted Robbery,2020,01,29
Resist Or Delay Officer,2020,01,29
Battery,2020,01,31
Battery,2020,01,31
Battery,2020,01,31
Battery,2020,01,31
Violation Of Court Order,2020,02,02
Robbery,2020,02,04
Robbery/Car Jacking,2020,02,06
Battery,2020,02,07
Battery,2020,01,28
Battery,2020,02,08
Battery,2020,02,09
Assault With Deadly Weapon,2020,02,09
Attempted Robbery,2020,02,11
Violation Of Court Order,2020,01,30
Assault With Deadly Weapon,2020,02,16
Annoy/Etc Child Under 18,2020,01,24
Penetration Of Genital/Anus By Obje,2020,02,01
Crimes V Children(Lewd/Lascivious),2020,02,04
Child Endanger/Cruelty,2020,02,08
Assault On Spouse/Cohabitant,2020,01,17
Violation Of Court Order,2020,01,22
Battery On Spouse/Cohabitant,2020,01,23
Battery On Spouse/Cohabitant,2020,01,29
Assault On Spouse/Cohabitant,2020,01,29
Battery On Spouse/Cohabitant,2020,01,30
Assault On Spouse/Cohabitant,2020,01,31
Battery On Spouse/Cohabitant,2020,02,02
Battery On Spouse/Cohabitant,2020,02,03
Violation Of Court Order,2020,02,06
Assault On Spouse/Cohabitant,2020,02,07
Violation Of Court Order,2020,02,08
Sexual Touch Against Will Of Victim,2020,02,12
Violation Of Court Order,2020,02,12
Assault On Spouse/Cohabitant,2020,02,15
Rape,2020,01,21
Crimes V Children(Lewd/Lascivious),2020,01,23
Annoy/Etc Child Under 18,2020,01,24
Crimes V Children(Lewd/Lascivious),2020,02,04
Sexual Touch Against Will Of Victim,2020,02,12
Possess Narcotic Controlled Substnc,2020,02,20
Non-Crime,2020,02,25
